CurveX,CurveY,HeadX,HeadY,TailX,TailY,MidlineLength,Frame,AbsX,AbsY,MidlineSlope 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,608.000000,677.457877,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,610.950000,677.446788,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,613.900000,677.445238,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,616.850000,677.457757,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,619.800000,677.474709,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,622.750000,677.492026,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,625.700000,677.600220,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,628.650000,677.834085,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,631.600000,678.203187,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,634.550000,678.534659,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,637.500000,678.847180,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,640.450000,679.116467,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,643.400000,679.365220,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,646.350000,679.671631,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,649.300000,679.888260,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,652.250000,680.007031,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,655.200000,680.062822,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,658.150000,680.033605,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,661.100000,679.881053,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,664.050000,679.530717,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,667.000000,679.034389,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,669.950000,678.561256,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,672.900000,677.940942,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,675.850000,677.136409,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,678.800000,676.101405,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,681.750000,674.914092,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,684.700000,673.782394,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,687.650000,672.846108,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,690.600000,672.109040,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,693.550000,671.517030,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,696.500000,671.083779,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,699.450000,670.949551,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,702.400000,671.090706,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,705.350000,671.471436,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,708.300000,672.073501,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,711.250000,672.859489,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,714.200000,674.103526,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,717.150000,675.759567,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,720.100000,677.828028,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,NaN,NaN,40.000000 
NaN,NaN,608.000000,677.000000,726.000000,680.000000,22.429116,310.000000,NaN,NaN,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,603.000000,677.975806,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,606.125000,677.784305,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,609.250000,677.644907,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,612.375000,677.553061,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,615.500000,677.523122,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,618.625000,677.511552,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,621.750000,677.486011,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,624.875000,677.486035,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,628.000000,677.572594,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,631.125000,677.751685,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,634.250000,678.077042,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,637.375000,678.505532,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,640.500000,678.999496,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,643.625000,679.417147,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,646.750000,679.728016,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,649.875000,679.907842,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,653.000000,680.012294,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,656.125000,680.061148,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,659.250000,680.049786,40.000000 
NaN,NaN,603.000000,678.000000,728.000000,680.000000,23.757899,313.000000,662.375000,679.969513,40.000000 
