CurveX,CurveY,HeadX,HeadY,TailX,TailY,MidlineLength,Frame,AbsX,AbsY,MidlineSlope 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,835.000000,676.888768,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,837.750000,677.092100,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,840.500000,677.320287,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,843.250000,677.558860,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,846.000000,677.841956,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,848.750000,677.952264,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,851.500000,677.980367,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,854.250000,678.087811,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,857.000000,678.321850,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,859.750000,678.603601,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,862.500000,678.814638,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,865.250000,678.969764,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,868.000000,679.008270,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,870.750000,678.913662,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,873.500000,678.906254,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,876.250000,679.112138,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,879.000000,679.348938,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,881.750000,679.342497,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,884.500000,678.996354,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,887.250000,678.469723,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,890.000000,678.007784,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,892.750000,677.613729,40.000000 
NaN,NaN,835.000000,677.000000,945.000000,680.000000,20.970563,150.000000,895.500000,677.131047,40.000000 
